priorityTier,priorityScore,priorityReasons,playerId,playerName,position,team,season,source,sourceLabel,nflDraftRound,nflDraftPick,nflDraftOverall,nflDraftTeam,college,collegeConference,collegeGames,collegePassingAttempts,collegeCompletions,collegePassingYards,collegePassingTouchdowns,collegeInterceptions,collegeRushingAttempts,collegeRushingYards,collegeRushingTouchdowns,collegeTargets,collegeReceptions,collegeReceivingYards,collegeReceivingTouchdowns,collegeSoloTackles,collegeAssistedTackles,collegeTotalTackles,collegeTacklesForLoss,collegeSacks,collegeInterceptionsDef,collegePassesDefended,collegeForcedFumbles,collegeFumbleRecoveries,landingSpotRole,opportunityNotes
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",f51932b4-fd98-4c6c-867e-3430fefd190c,Adam Randall,RB,BAL,2026,manual,rookie-enrichment,,,,BAL,Clemson,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",814fee31-8a82-4cd5-aefe-348459d972da,Al-Jay Henderson,RB,,2026,manual,rookie-enrichment,,,,,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",0da51590-3c6a-4cf4-b513-fdfb77be179e,Anderson Castle,RB,IND,2026,manual,rookie-enrichment,,,,IND,Duke,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",0c6da4f8-b2bc-4c1d-b945-cb2781016595,Anthony Hankerson,RB,MIA,2026,manual,rookie-enrichment,,,,MIA,Oregon State,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",ddf8e376-b621-4aa6-82f7-a3813733f87c,Cash Jones,RB,ATL,2026,manual,rookie-enrichment,,,,ATL,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",0012dbf3-0c0b-40f5-bf33-0888fc5d302f,CJ Donaldson,RB,NO,2026,manual,rookie-enrichment,,,,NO,Ohio State,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",95e594c1-c7c0-46ad-a390-cfae5d4f2c49,Coleman Bennett,RB,CHI,2026,manual,rookie-enrichment,,,,CHI,Kennesaw State,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",5518e397-fcd0-484f-bf2d-9ccb13738f53,Damon Bankston,RB,NYG,2026,manual,rookie-enrichment,,,,NYG,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",5ba496a0-b826-4792-a51d-feadef67a6a2,Davon Booth,RB,CLE,2026,manual,rookie-enrichment,,,,CLE,Mississippi State,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",cda08b04-8004-43ea-8626-8df7f060a2a7,DeaMonte Trayanum,RB,NYJ,2026,manual,rookie-enrichment,,,,NYJ,Toledo,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",78e9a3cf-960e-4bed-a5ff-37f53722dd0a,Dean Connors,RB,LAR,2026,manual,rookie-enrichment,,,,LAR,Houston,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",eec9ae92-e768-46d7-a836-2d09d495697e,Demond Claiborne,RB,MIN,2026,manual,rookie-enrichment,,,,MIN,Wake Forest,,,,,,,,,,,,,,,,,,,,,,,,,
high,59,"RB is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",3e8f28e9-bb4c-4e26-8926-8399e8635ac3,Desmond Reid,RB,BUF,2026,manual,rookie-enrichment,,,,BUF,Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,
