sourcePlayerId,sleeperId,blackbirdPlayerId,playerName,normalizedName,position,normalizedPosition,team,status,active,searchRank,yearsExperience,college,age,birthDate,height,weight,candidateNflversePlayerIds,candidateNames,candidateTeams,candidatePositions,matchConfidence,matchReasons,conflictReasons,recommendedAction,reviewPriority
1613,1613,,Otha Foster,otha foster,DB,DB,,Active,true,9999999,9,West Alabama,33,1988-09-27,71,199,,,,,unmatched,,,provider_missing_id,P3
1622,1622,,Frank Beltre,frank beltre,LB,LB,,Active,true,9999999,9,Towson,31,1990-01-28,74,240,,,,,unmatched,,,provider_missing_id,P3
1659,1659,,Will Pericak,will pericak,DL,DL,,Active,true,9999999,9,Colorado,32,1989-12-30,75,300,,,,,unmatched,,,provider_missing_id,P3
1670,1670,,Lawrence Okoye,lawrence okoye,DL,DL,,Active,true,9999999,9,No College,30,1991-10-06,78,304,,,,,unmatched,,,provider_missing_id,P3
1779,1779,,Mitchell White,mitchell white,DB,DB,,Active,true,9999999,9,Michigan State,31,1990-03-30,71,185,,,,,unmatched,,,provider_missing_id,P3
1855,1855,,Shaquelle Evans,shaquelle evans,WR,WR,,Active,true,9999999,8,UCLA,30,1991-03-07,72,210,,,,,unmatched,,,provider_missing_id,P3
1921,1921,,Daniel McCullers,daniel mccullers,DL,DL,,Inactive,true,787,8,Tennessee,29,1992-08-11,79,352,,,,,unmatched,,,provider_missing_id,P3
1939,1939,,Derel Walker,derel walker,WR,WR,,Active,true,9999999,8,Texas A&M,30,1991-06-29,74,185,,,,,unmatched,,,provider_missing_id,P3
1943,1943,,Lacoltan Bester,lacoltan bester,WR,WR,,Active,true,9999999,12,Oklahoma,,,75,208,,,,,unmatched,,,provider_missing_id,P3
2044,2044,,Brelan Chancellor,brelan chancellor,WR,WR,,Active,true,9999999,12,North Texas,33,1992-08-06,68,183,,,,,unmatched,,,provider_missing_id,P3
2119,2119,,James Franklin,james franklin,QB,QB,,Active,true,9999999,12,Missouri,34,1991-07-23,74,230,,,,,unmatched,,,provider_missing_id,P3
2120,2120,,Gregory Hickman,gregory hickman,DL,DL,,Active,true,9999999,11,Florida International,34,1990-11-23,74,280,,,,,unmatched,,,provider_missing_id,P3
2169,2169,,Devonta Glover-Wright,devonta glover wright,DB,DB,,Inactive,true,9999999,5,Utah State,27,1992-06-28,72,175,,,,,unmatched,,,provider_missing_id,P3
2200,2200,,Timothy Flanders,timothy flanders,RB,RB,,Active,true,9999999,11,Sam Houston State,33,1991-09-29,69,210,,,,,unmatched,,,provider_missing_id,P3
2206,2206,,Logan Kilgore,logan kilgore,QB,QB,,Active,true,9999999,12,Middle Tennessee,,,75,206,,,,,unmatched,,,provider_missing_id,P3
2502,2502,,Bud Sasser,bud sasser,WR,WR,,Active,true,9999999,11,Missouri,,,74,210,,,,,unmatched,,,provider_missing_id,P3
2551,2551,,Josh Furman,josh furman,DB,DB,,Active,true,9999999,10,Oklahoma State,33,1991-11-01,73,210,,,,,unmatched,,,provider_missing_id,P3
