sourcePlayerId,sleeperId,blackbirdPlayerId,playerName,normalizedName,position,normalizedPosition,team,status,active,searchRank,yearsExperience,college,age,birthDate,height,weight,candidateNflversePlayerIds,candidateNames,candidateTeams,candidatePositions,matchConfidence,matchReasons,conflictReasons,recommendedAction,reviewPriority
1842,1842,,Derrick Johnson,derrick johnson,WR,WR,,Active,true,9999999,11,Maine,33,1991-07-06,71,190,00-0023637,Derrick Johnson,ATL,DB,conflict,normalized full name match|weight support,position mismatch: WR vs DB; birth date mismatch: 1991-07-06 vs 1982-02-09|position mismatch: WR vs DB|birth date mismatch: 1991-07-06 vs 1982-02-09,needs_manual_override,P3
2538,2538,,Gerod Holliman,gerod holliman,DB,DB,,Active,true,9999999,10,Louisville,32,1992-12-07,70,218,00-0032219,Gerod Holliman,TB,DB,conflict,normalized full name match|position match|height support|weight support,birth date mismatch: 1992-12-07 vs 1994-05-06|birth date mismatch: 1992-12-07 vs 1994-05-06,needs_manual_override,P3
2610,2610,,Robert Smith,robert smith,DB,DB,,Active,true,9999999,10,Clemson,32,1992-12-22,71,215,00-0015286,Robert Smith,MIN,RB,conflict,normalized full name match|weight support,position mismatch: DB vs RB; birth date mismatch: 1992-12-22 vs 1972-03-04|position mismatch: DB vs RB|birth date mismatch: 1992-12-22 vs 1972-03-04,needs_manual_override,P3
2639,2639,,Tony Jones,tony jones,WR,WR,,Active,true,9999999,10,Northwestern,32,1992-03-21,72,195,00-0008884,Tony Jones,HOU,WR,conflict,normalized full name match|position match,birth date mismatch: 1992-03-21 vs 1965-12-30|birth date mismatch: 1992-03-21 vs 1965-12-30,needs_manual_override,P3
2715,2715,,Gary Wilkins,gary wilkins,LB,LB,,Active,true,9999999,10,Furman,33,1992-02-02,74,240,00-0017692,Gary Wilkins,ATL,RB,conflict,normalized full name match|weight support,position mismatch: LB vs RB; birth date mismatch: 1992-02-02 vs 1963-11-23|position mismatch: LB vs RB|birth date mismatch: 1992-02-02 vs 1963-11-23,needs_manual_override,P3
2754,2754,,Michael Johnson,michael johnson,WR,WR,,Active,true,9999999,10,Delaware,33,1991-09-10,74,210,00-0025611,Michael Johnson,NYG,DB,conflict,normalized full name match|height support|weight support,position mismatch: WR vs DB; birth date mismatch: 1991-09-10 vs 1984-05-09|position mismatch: WR vs DB|birth date mismatch: 1991-09-10 vs 1984-05-09,needs_manual_override,P3
2757,2757,,Micajah Reynolds,micajah reynolds,DL,DL,,Active,true,9999999,11,Michigan State,34,1991-01-24,77,330,00-0030810,Micajah Reynolds,BAL,DL,conflict,normalized full name match|position match|height support|weight support,birth date mismatch: 1991-01-24 vs 1990-01-24|birth date mismatch: 1991-01-24 vs 1990-01-24,needs_manual_override,P3
2782,2782,,Dominique Davis,dominique davis,DL,DL,,Active,true,9999999,10,Liberty,34,1990-06-18,77,285,00-0028863,Dominique Davis,IND,QB,conflict,normalized full name match,position mismatch: DL vs QB; birth date mismatch: 1990-06-18 vs 1989-07-17|position mismatch: DL vs QB|birth date mismatch: 1990-06-18 vs 1989-07-17,needs_manual_override,P3
2883,2883,,Chase Williams,chase williams,LB,LB,CLE,Active,true,9999999,9,Virginia Tech,32,1991-10-16,74,215,00-0039948,Chase Williams,CLE,DB,conflict,normalized full name match|team match,position mismatch: LB vs DB; birth date mismatch: 1991-10-16 vs 1999-12-09|position mismatch: LB vs DB|birth date mismatch: 1991-10-16 vs 1999-12-09,needs_manual_override,P1
2889,2889,,Jordan DeWalt-Ondijo,jordan dewalt ondijo,LB,LB,,Active,true,9999999,10,Duke,33,1991-05-19,76,240,00-0031650,Jordan Dewalt-Ondijo,HOU,LB,conflict,normalized full name match|position match|height support|weight support,birth date mismatch: 1991-05-19 vs 1992-05-19|birth date mismatch: 1991-05-19 vs 1992-05-19,needs_manual_override,P3
3455,3455,,Gerald Dixon,gerald dixon,DL,DL,,Active,true,9999999,9,South Carolina,31,1993-03-30,75,327,00-0004353,Gerald Dixon,LAC,LB,conflict,normalized full name match|height support,position mismatch: DL vs LB; birth date mismatch: 1993-03-30 vs 1969-06-20|position mismatch: DL vs LB|birth date mismatch: 1993-03-30 vs 1969-06-20,needs_manual_override,P3
4473,4473,,Alex Gray,alex gray,DB,DB,,Active,true,9999999,5,Appalachian State,28,1993-09-15,75,225,00-0034010,Alex Gray,ATL,TE,conflict,normalized full name match|weight support,position mismatch: DB vs TE; birth date mismatch: 1993-09-15 vs 1991-05-01|position mismatch: DB vs TE|birth date mismatch: 1993-09-15 vs 1991-05-01,needs_manual_override,P3
4620,4620,,Avery Williams,avery williams,LB,LB,,Active,true,9999999,5,Temple,27,1994-09-02,70,224,00-0036950,Avery Williams,NYJ,RB,conflict,normalized full name match,position mismatch: LB vs RB; birth date mismatch: 1994-09-02 vs 1998-07-15|position mismatch: LB vs RB|birth date mismatch: 1994-09-02 vs 1998-07-15,needs_manual_override,P3
4697,4697,,Khalid Abdullah,khalid abdullah,RB,RB,,Active,true,9999999,5,James Madison,26,1995-05-14,70,220,00-0021957,Khalid Abdullah,CIN,LB,conflict,normalized full name match,position mismatch: RB vs LB; birth date mismatch: 1995-05-14 vs 1979-03-06|position mismatch: RB vs LB|birth date mismatch: 1995-05-14 vs 1979-03-06,needs_manual_override,P3
4732,4732,,A.J. Jefferson,aj jefferson,DL,DL,,Active,true,9999999,5,Mississippi State,28,1993-03-03,75,280,00-0027350,A.J. Jefferson,MIN,DB,conflict,normalized full name match,position mismatch: DL vs DB; birth date mismatch: 1993-03-03 vs 1988-04-04|position mismatch: DL vs DB|birth date mismatch: 1993-03-03 vs 1988-04-04,needs_manual_override,P3
4837,4837,,Carlos Davis,carlos davis,DL,DL,,Active,true,9999999,5,Mississippi,28,1993-12-30,68,170,00-0036352,Carlos Davis,ATL,DL,conflict,normalized full name match|position match,birth date mismatch: 1993-12-30 vs 1996-08-22|birth date mismatch: 1993-12-30 vs 1996-08-22,needs_manual_override,P3
4844,4844,,Elijah Mitchell,elijah mitchell,DB,DB,,Active,true,9999999,5,Nevada,26,1995-03-31,68,180,00-0036567,Elijah Mitchell,PHI,RB,conflict,normalized full name match,position mismatch: DB vs RB; birth date mismatch: 1995-03-31 vs 1998-05-02|position mismatch: DB vs RB|birth date mismatch: 1995-03-31 vs 1998-05-02,needs_manual_override,P3
5133,5133,,Tyler Conklin,tyler conklin,TE,TE,DET,Active,true,999,8,Central Michigan,30,1995-07-30,75,248,00-0034270|00-0034439,Tyler Conklin|Ryan Izzo,DET|TEN,TE|TE,conflict,exact ID match: sleeper_id|normalized full name match|position match|team match|birth date match|height support|exact ID match: gsis_id|position match|team mismatch lowered confidence: DET vs TEN,multiple exact ID candidates|birth date mismatch: 1995-07-30 vs 1995-12-21,needs_manual_override,P1
